
### SETTING ##########################################

row_id,USERID,TIMESTAMP,gender,currentRoutine,DOB,name,length,mass,dbversion,vibration,alarm,timer,sets,targetrep,age,zonedifference,location,use_location,screenon,auto_lock,lastlogs,preloadreps,exp_level,fit_goal,audio_reminder,audio_exercise_tips,audio_personal_tips
768503,541724,"2026-03-16 17:26:15",M,3,1989-01-01,," cm"," kg",,,,90,3,8,23,1,,1,1,1,0,0,2,4,0,0,0


######################################################

### PROFILE ##########################################

row_id,USERID,TIMESTAMP,_id,mydate,weight,fatpercent,chest,arms,waist,calves,height,hips,thighs,shoulders,neck,forearms,logTime
row_id,USERID,TIMESTAMP,belongSys,superset,_id,exercise_id,belongplan,exercisename,setcount,timer,logs,bodypart,mysort,targetrep,setdone,setdonetime,interval_time,interval_unit,rest_time_enabled,interval_time_enabled,is_tier_primary
110992516,541724,"2020-08-17 23:09:54",1,0,194,93,15,"Barbell Deadlift",6,30,"15.0x10,20.0x8,30.0x2,10.0x1",1,10,15,0,1378482641,0,sec,1,1,

row_id,USERID,TIMESTAMP,belongSys,superset,_id,exercise_id,belongplan,exercisename,setcount,timer,logs,bodypart,mysort,targetrep,setdone,setdonetime,interval_time,interval_unit,rest_time_enabled,interval_time_enabled,is_tier_primary
52590376,541724,"2022-11-16 00:42:08",1,0,86,1248,15,"Cable Underhand Pull Down",3,30,"80.0x20,100.0x12,120.0x14",1,11,15,0,1378483234,0,sec,1,1,

row_id,USERID,TIMESTAMP,belongSys,superset,_id,exercise_id,belongplan,exercisename,setcount,timer,logs,bodypart,mysort,targetrep,setdone,setdonetime,interval_time,interval_unit,rest_time_enabled,interval_time_enabled,is_tier_primary
150971903,541724,"2020-08-17 23:09:54",1,0,245,3,15,"Barbell Bent Over Row",3,30,"5.0x17,5.0x15,5.0x10",1,12,15,0,1376328213,0,sec,1,1,

row_id,USERID,TIMESTAMP,belongSys,superset,_id,exercise_id,belongplan,exercisename,setcount,timer,logs,bodypart,mysort,targetrep,setdone,setdonetime,interval_time,interval_unit,rest_time_enabled,interval_time_enabled,is_tier_primary
52804681,541724,"2020-08-17 23:09:54",1,0,100006,94,15,Superman,3,30,0x0,1,13,1,0,1360323418,0,sec,1,1,

row_id,USERID,TIMESTAMP,belongSys,superset,_id,exercise_id,belongplan,exercisename,setcount,timer,logs,bodypart,mysort,targetrep,setdone,setdonetime,interval_time,interval_unit,rest_time_enabled,interval_time_enabled,is_tier_primary
52590381,541724,"2020-08-17 23:09:54",1,0,91,116,15,"Dumbbell Alternate Bicep Curl",3,30,"9.0x10,9.0x8,9.0x5",2,14,15,0,1378483571,0,sec,1,1,

row_id,USERID,TIMESTAMP,belongSys,superset,_id,exercise_id,belongplan,exercisename,setcount,timer,logs,bodypart,mysort,targetrep,setdone,setdonetime,interval_time,interval_unit,rest_time_enabled,interval_time_enabled,is_tier_primary
52590379,541724,"2020-08-17 23:09:54",1,0,89,114,15,"Dumbbell Alternate Hammer Curl",3,30,"7.0x8,6.0x9,7.0x10",2,15,15,0,1378483882,0,sec,1,1,

row_id,USERID,TIMESTAMP,belongSys,superset,_id,exercise_id,belongplan,exercisename,setcount,timer,logs,bodypart,mysort,targetrep,setdone,setdonetime,interval_time,interval_unit,rest_time_enabled,interval_time_enabled,is_tier_primary
119881446,541724,"2020-08-17 23:09:54",1,0,206,102,15,"Cable Standing Biceps Curl",3,30,"7.0x7,7.0x8,4.0x13",2,16,15,0,1378484218,0,sec,1,1,

row_id,USERID,TIMESTAMP,belongSys,superset,_id,exercise_id,belongplan,exercisename,setcount,timer,logs,bodypart,mysort,targetrep,setdone,setdonetime,interval_time,interval_unit,rest_time_enabled,interval_time_enabled,is_tier_primary
52808107,541724,"2020-08-17 23:09:54",1,0,100016,113,15,"Barbell Preacher Curl",3,30,"10.0x18,15.0x13,20.0x9",2,17,15,0,1377190976,0,sec,1,1,

row_id,USERID,TIMESTAMP,belongSys,superset,_id,exercise_id,belongplan,exercisename,setcount,timer,logs,bodypart,mysort,targetrep,setdone,setdonetime,interval_time,interval_unit,rest_time_enabled,interval_time_enabled,is_tier_primary
101651260,541724,"2020-08-17 23:09:54",1,0,183,107,15,"Dumbbell Concentration Curls",2,30,"5.0x16,5.0x16",2,18,15,0,1376329847,0,sec,1,1,

row_id,USERID,TIMESTAMP,belongSys,superset,_id,exercise_id,belongplan,exercisename,setcount,timer,logs,bodypart,mysort,targetrep,setdone,setdonetime,interval_time,interval_unit,rest_time_enabled,interval_time_enabled,is_tier_primary
101651259,541724,"2020-08-17 23:09:54",0,0,182,10,15,"Jungle Machine Station Pulley ",3,30,"35.0x11,35.0x9,20.0x9",1,19,15,0,1366193751,0,sec,1,1,

row_id,USERID,TIMESTAMP,belongSys,superset,_id,exercise_id,belongplan,exercisename,setcount,timer,logs,bodypart,mysort,targetrep,setdone,setdonetime,interval_time,interval_unit,rest_time_enabled,interval_time_enabled,is_tier_primary
112859545,541724,"2023-01-03 22:33:52",1,0,199,52,15,"T Bar Lying Row",3,30,"25.0x8,25.0x7,20.0x9",1,20,15,0,1368785702,0,sec,1,1,

row_id,USERID,TIMESTAMP,belongSys,superset,_id,exercise_id,belongplan,exercisename,setcount,timer,logs,bodypart,mysort,targetrep,setdone,setdonetime,interval_time,interval_unit,rest_time_enabled,interval_time_enabled,is_tier_primary
120685832,541724,"2020-08-17 23:09:54",1,0,207,85,15,"Wide Grip Rear Pull-Up",3,60,"0.0x8,0.0x10,0.0x9",1,21,6,0,1366467645,0,sec,1,1,

row_id,USERID,TIMESTAMP,belongSys,superset,_id,exercise_id,belongplan,exercisename,setcount,timer,logs,bodypart,mysort,targetrep,setdone,setdonetime,interval_time,interval_unit,rest_time_enabled,interval_time_enabled,is_tier_primary
185272069,541724,"2025-10-28 20:06:48",1,0,257,199,15,"Barbell Romanian Deadlift",3,80,15.0x10,1,22,8,0,1385205683,0,sec,1,1,

row_id,USERID,TIMESTAMP,belongSys,superset,_id,exercise_id,belongplan,exercisename,setcount,timer,logs,bodypart,mysort,targetrep,setdone,setdonetime,interval_time,interval_unit,rest_time_enabled,interval_time_enabled,is_tier_primary
185272070,541724,"2025-10-28 20:06:48",1,0,258,1248,15,"Close Grip Reverse Lat Pull Down",3,80,"80.0x16,80.0x18,90.0x13",1,23,8,0,1385206681,0,sec,1,1,

row_id,USERID,TIMESTAMP,belongSys,superset,_id,exercise_id,belongplan,exercisename,setcount,timer,logs,bodypart,mysort,targetrep,setdone,setdonetime,interval_time,interval_unit,rest_time_enabled,interval_time_enabled,is_tier_primary
635266757,541724,"2025-10-28 20:06:48",1,0,378,316,15,Rowing,3,80,"0x0,0x1.1,0x0,0x0,0x315",10,24,8,0,1490975232,0,sec,1,1,


row_id,USERID,TIMESTAMP,package,_id,name,day,dayIndex,interval_mode,rest_day,week,sort_order,day_completed_timestamp
5081244,541724,"2025-10-28 20:06:48",1,18,"Special push ups day",8,8,0,0,0,0,"2013-01-11 17:06:40"

row_id,USERID,TIMESTAMP,belongSys,superset,_id,exercise_id,belongplan,exercisename,setcount,timer,logs,bodypart,mysort,targetrep,setdone,setdonetime,interval_time,interval_unit,rest_time_enabled,interval_time_enabled,is_tier_primary
65087771,541724,"2025-10-28 20:06:48",1,0,104,47,18,"Push Up",3,120,"22.5x20,22.5x15,22.5x10",3,1,1,0,1357922516,0,sec,1,1,

row_id,USERID,TIMESTAMP,belongSys,superset,_id,exercise_id,belongplan,exercisename,setcount,timer,logs,bodypart,mysort,targetrep,setdone,setdonetime,interval_time,interval_unit,rest_time_enabled,interval_time_enabled,is_tier_primary
65087772,541724,"2025-10-28 20:06:48",1,0,105,47,18,"Push Up",3,120,"22.5x8,22.5x8,22.5x10",3,2,1,0,1357922999,0,sec,1,1,

row_id,USERID,TIMESTAMP,belongSys,superset,_id,exercise_id,belongplan,exercisename,setcount,timer,logs,bodypart,mysort,targetrep,setdone,setdonetime,interval_time,interval_unit,rest_time_enabled,interval_time_enabled,is_tier_primary
99566398,541724,"2025-10-28 20:06:48",1,0,160,467,18,"Barbell Deep Squat",3,60,"0.5x14,5.0x12,5.0x10",8,3,8,0,1357923555,0,sec,1,1,

row_id,USERID,TIMESTAMP,belongSys,superset,_id,exercise_id,belongplan,exercisename,setcount,timer,logs,bodypart,mysort,targetrep,setdone,setdonetime,interval_time,interval_unit,rest_time_enabled,interval_time_enabled,is_tier_primary
99566399,541724,"2025-10-28 20:06:48",1,0,161,136,18,"Dumbbell Lunges",3,60,"0.5x10,0.5x12,0.5x10",8,4,8,0,1357924000,0,sec,1,1,


row_id,USERID,TIMESTAMP,package,_id,name,day,dayIndex,interval_mode,rest_day,week,sort_order,day_completed_timestamp
5405980,541724,"2025-10-28 20:06:48",1,19,"Special pull up training ",8,8,0,0,0,0,"2013-07-26 15:22:33"

row_id,USERID,TIMESTAMP,belongSys,superset,_id,exercise_id,belongplan,exercisename,setcount,timer,logs,bodypart,mysort,targetrep,setdone,setdonetime,interval_time,interval_unit,rest_time_enabled,interval_time_enabled,is_tier_primary
69974154,541724,"2025-10-28 20:06:48",1,0,116,116,19,"Dumbbell Alternate Bicep Curl",3,120,"10.0x7,10.0x6,10.0x6",2,1,8,0,1374852153,0,sec,1,1,

row_id,USERID,TIMESTAMP,belongSys,superset,_id,exercise_id,belongplan,exercisename,setcount,timer,logs,bodypart,mysort,targetrep,setdone,setdonetime,interval_time,interval_unit,rest_time_enabled,interval_time_enabled,is_tier_primary
147954903,541724,"2025-10-28 20:06:48",1,0,239,818,19,"Inverted Row",3,80,"0.0x8,0.0x7,0.0x8",1,2,8,0,1374849801,0,sec,1,1,

row_id,USERID,TIMESTAMP,belongSys,superset,_id,exercise_id,belongplan,exercisename,setcount,timer,logs,bodypart,mysort,targetrep,setdone,setdonetime,interval_time,interval_unit,rest_time_enabled,interval_time_enabled,is_tier_primary
